taxonKey	canonicalName	kingdomKey	classKey	class	kingdom
3190653	Ailanthus altissima	6	220	Magnoliopsida	Plantae
5334351	Fallopia baldschuanica	6	220	Magnoliopsida	Plantae
3129663	Baccharis halimifolia	6	220	Magnoliopsida	Plantae
5352251	Robinia pseudoacacia	6	220	Magnoliopsida	Plantae
3003979	Rosa rugosa	6	220	Magnoliopsida	Plantae
3034825	Heracleum mantegazzianum	6	220	Magnoliopsida	Plantae
3033865	Mahonia aquifolium	6	220	Magnoliopsida	Plantae
2889173	Reynoutria japonica	6	220	Magnoliopsida	Plantae
3021850	Prunus serotina	6	220	Magnoliopsida	Plantae
5329212	Elodea nuttallii	6	196	Liliopsida	Plantae
5361785	Myriophyllum aquaticum	6	220	Magnoliopsida	Plantae
2891770	Impatiens glandulifera	6	220	Magnoliopsida	Plantae
2865448	Elodea canadensis	6	196	Liliopsida	Plantae
2650107	Azolla filiculoides	6	7228684	Polypodiopsida	Plantae
5421039	Ludwigia grandiflora	6	220	Magnoliopsida	Plantae
5389017	Solidago gigantea	6	220	Magnoliopsida	Plantae
3189866	Acer negundo	6	220	Magnoliopsida	Plantae
3039269	Elaeagnus angustifolia	6	220	Magnoliopsida	Plantae
3025617	Cotoneaster horizontalis	6	220	Magnoliopsida	Plantae
2867614	Lemna minuta	6	196	Liliopsida	Plantae
5389029	Solidago canadensis	6	220	Magnoliopsida	Plantae
7978544	Hydrocotyle ranunculoides	6	220	Magnoliopsida	Plantae
3039203	Parthenocissus inserta	6	220	Magnoliopsida	Plantae
5356345	Laburnum anagyroides	6	220	Magnoliopsida	Plantae
3190538	Rhus typhina	6	220	Magnoliopsida	Plantae
2996525	Rubus armeniacus	6	220	Magnoliopsida	Plantae
4038485	Reynoutria bohemica	6	220	Magnoliopsida	Plantae
3021496	Prunus laurocerasus	6	220	Magnoliopsida	Plantae
2889088	Reynoutria sachalinensis	6	220	Magnoliopsida	Plantae
3027159	Spiraea douglasii	6	220	Magnoliopsida	Plantae
7889822	Spiraea billardii	6	220	Magnoliopsida	Plantae
3119175	Helianthus tuberosus	6	220	Magnoliopsida	Plantae
3119181	Helianthus laetiflorus	6	220	Magnoliopsida	Plantae
3039194	Parthenocissus quinquefolia	6	220	Magnoliopsida	Plantae
3039209	Parthenocissus tricuspidata	6	220	Magnoliopsida	Plantae
3026819	Spiraea tomentosa	6	220	Magnoliopsida	Plantae
2882443	Cabomba caroliniana	6	220	Magnoliopsida	Plantae
3026454	Spiraea salicifolia	6	220	Magnoliopsida	Plantae
8848208	Koenigia polystachya	6	220	Magnoliopsida	Plantae
2891774	Impatiens capensis	6	220	Magnoliopsida	Plantae
5420991	Ludwigia peploides	6	220	Magnoliopsida	Plantae
3172348	Fraxinus pennsylvanica	6	220	Magnoliopsida	Plantae
2865565	Lagarosiphon major	6	196	Liliopsida	Plantae
3114229	Rudbeckia laciniata	6	220	Magnoliopsida	Plantae
2867631	Lemna turionifera	6	196	Liliopsida	Plantae
2870583	Pistia stratiotes	6	196	Liliopsida	Plantae
5361762	Myriophyllum heterophyllum	6	220	Magnoliopsida	Plantae
3170247	Asclepias syriaca	6	220	Magnoliopsida	Plantae
5328593	Aponogeton distachyos	6	196	Liliopsida	Plantae
2703041	Arundo donax	6	196	Liliopsida	Plantae
3026585	Spiraea alba	6	220	Magnoliopsida	Plantae
11742641	Myriophyllum rubricaule	6	220	Magnoliopsida	Plantae
