taxonKey,year,em_status,growth,method,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
2650107,2020,1,0.9669031015695028,correct_baseline,2650107,Azolla filiculoides Lam.,Azolla filiculoides,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Salviniales,Salviniaceae,Azolla,Azolla filiculoides,6,7707728,7228684,7229405,6629,2650103,FALSE,Polypodiopsida,NA,Azolla filiculoides,7
2765942,2020,NA,NA,correct_baseline,2765940,Eichhornia crassipes (Mart.) Solms,Eichhornia crassipes,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Commelinales,Pontederiaceae,Pontederia,Pontederia crassipes,6,7707728,196,553,3731,2740415,TRUE,Liliopsida,2765942,Eichhornia crassipes,13
2865448,2020,NA,NA,correct_baseline,2865448,Elodea canadensis Michx.,Elodea canadensis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Alismatales,Hydrocharitaceae,Elodea,Elodea canadensis,6,7707728,196,551,3721,7454696,FALSE,Liliopsida,NA,Elodea canadensis,15
2867614,2020,3,1.0480410914022638,correct_baseline,2867614,Lemna minuta Kunth,Lemna minuta,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Alismatales,Araceae,Lemna,Lemna minuta,6,7707728,196,551,6979,2867567,FALSE,Liliopsida,NA,Lemna minuta,30
2882443,2020,NA,NA,correct_baseline,2882443,Cabomba caroliniana A.Gray,Cabomba caroliniana,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Nymphaeales,Cabombaceae,Cabomba,Cabomba caroliniana,6,7707728,220,636,6681,2882440,FALSE,Magnoliopsida,NA,Cabomba caroliniana,9
2889088,2020,0,0.924658855477018,correct_baseline,2889088,Reynoutria sachalinensis (F.Schmidt) Nakai,Reynoutria sachalinensis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Reynoutria,Reynoutria sachalinensis,6,7707728,220,422,2416,8420120,FALSE,Magnoliopsida,NA,Reynoutria sachalinensis,46
2889173,2020,3,1.0995783033430908,correct_baseline,2889173,Reynoutria japonica Houtt.,Reynoutria japonica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Reynoutria,Reynoutria japonica,6,7707728,220,422,2416,8420120,FALSE,Magnoliopsida,NA,Reynoutria japonica,45
2891770,2020,3,1.0283468644592257,correct_baseline,2891770,Impatiens glandulifera Royle,Impatiens glandulifera,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Ericales,Balsaminaceae,Impatiens,Impatiens glandulifera,6,7707728,220,1353,6699,2891766,FALSE,Magnoliopsida,NA,Impatiens glandulifera,26
2996525,2020,3,1.0492704976992304,correct_baseline,2996525,Rubus armeniacus Focke,Rubus armeniacus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Rubus,Rubus armeniacus,6,7707728,220,691,5015,2988638,FALSE,Magnoliopsida,NA,Rubus armeniacus,51
3003979,2020,3,1.184773861355612,correct_baseline,3003979,Rosa rugosa Thunb.,Rosa rugosa,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Rosa,Rosa rugosa,6,7707728,220,691,5015,8395064,FALSE,Magnoliopsida,NA,Rosa rugosa,50
3021496,2020,3,1.1282409726023725,correct_baseline,3021496,Prunus laurocerasus L.,Prunus laurocerasus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Prunus,Prunus laurocerasus,6,7707728,220,691,5015,3020559,FALSE,Magnoliopsida,NA,Prunus laurocerasus,43
3021850,2020,3,1.0534281681174809,correct_baseline,3021850,Prunus serotina Ehrh.,Prunus serotina,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Prunus,Prunus serotina,6,7707728,220,691,5015,3020559,FALSE,Magnoliopsida,NA,Prunus serotina,44
3025617,2020,0,0.6536775294591971,correct_baseline,3025617,Cotoneaster horizontalis Decne.,Cotoneaster horizontalis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Cotoneaster,Cotoneaster horizontalis,6,7707728,220,691,5015,3025563,FALSE,Magnoliopsida,NA,Cotoneaster horizontalis,11
3026454,2020,NA,NA,correct_baseline,3026454,Spiraea salicifolia L.,Spiraea salicifolia,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Spiraea,Spiraea salicifolia,6,7707728,220,691,5015,3026392,FALSE,Magnoliopsida,NA,Spiraea salicifolia,58
3026819,2020,NA,NA,correct_baseline,3026819,Spiraea tomentosa L.,Spiraea tomentosa,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Spiraea,Spiraea tomentosa,6,7707728,220,691,5015,3026392,FALSE,Magnoliopsida,NA,Spiraea tomentosa,59
3027159,2020,0,0.7946684365568768,correct_baseline,3027159,Spiraea douglasii Hook.,Spiraea douglasii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Spiraea,Spiraea douglasii,6,7707728,220,691,5015,3026392,FALSE,Magnoliopsida,NA,Spiraea douglasii,57
3033865,2020,3,1.175379616327899,correct_baseline,3033865,Mahonia aquifolium (Pursh) Nutt.,Mahonia aquifolium,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Ranunculales,Berberidaceae,Mahonia,Mahonia aquifolium,6,7707728,220,399,6673,3033842,FALSE,Magnoliopsida,NA,Mahonia aquifolium,35
3034825,2020,2,0.9647977005996592,correct_baseline,3034825,Heracleum mantegazzianum Sommier & Levier,Heracleum mantegazzianum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Apiales,Apiaceae,Heracleum,Heracleum mantegazzianum,6,7707728,220,1351,6720,3034824,FALSE,Magnoliopsida,NA,Heracleum mantegazzianum,22
3039194,2020,1,0.9583569908086162,correct_baseline,3039194,Parthenocissus quinquefolia (L.) Planch.,Parthenocissus quinquefolia,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Vitales,Vitaceae,Parthenocissus,Parthenocissus quinquefolia,6,7707728,220,7222050,6672,3039188,FALSE,Magnoliopsida,NA,Parthenocissus quinquefolia,40
3039203,2020,0,0.7399686692522816,correct_baseline,3039203,Parthenocissus inserta (A.Kern.) Fritsch,Parthenocissus inserta,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Vitales,Vitaceae,Parthenocissus,Parthenocissus inserta,6,7707728,220,7222050,6672,3039188,FALSE,Magnoliopsida,NA,Parthenocissus inserta,39
3039209,2020,3,1.2456354470356525,correct_baseline,3039209,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Parthenocissus tricuspidata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Vitales,Vitaceae,Parthenocissus,Parthenocissus tricuspidata,6,7707728,220,7222050,6672,3039188,FALSE,Magnoliopsida,NA,Parthenocissus tricuspidata,41
3039269,2020,3,1.1747920691593157,correct_baseline,3039269,Elaeagnus angustifolia L.,Elaeagnus angustifolia,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Rosales,Elaeagnaceae,Elaeagnus,Elaeagnus angustifolia,6,7707728,220,691,2408,3039266,FALSE,Magnoliopsida,NA,Elaeagnus angustifolia,14
3119175,2020,1,0.9195581044584487,correct_baseline,3119175,Helianthus tuberosus L.,Helianthus tuberosus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Helianthus,Helianthus tuberosus,6,7707728,220,414,3065,3119134,FALSE,Magnoliopsida,NA,Helianthus tuberosus,20
3119181,2020,NA,NA,correct_baseline,3119181,Helianthus ×laetiflorus Pers.,Helianthus laetiflorus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Helianthus,Helianthus laetiflorus,6,7707728,220,414,3065,3119134,FALSE,Magnoliopsida,NA,Helianthus x laetiflorus,21
3129663,2020,3,1.1635765750885547,correct_baseline,3129663,Baccharis halimifolia L.,Baccharis halimifolia,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Baccharis,Baccharis halimifolia,6,7707728,220,414,3065,3129135,FALSE,Magnoliopsida,NA,Baccharis halimifolia,8
3189866,2020,3,1.1345301660066267,correct_baseline,3189866,Acer negundo L.,Acer negundo,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Sapindales,Sapindaceae,Acer,Acer negundo,6,7707728,220,933,6657,3189834,FALSE,Magnoliopsida,NA,Acer negundo,1
3190538,2020,2,1.0367857894264922,correct_baseline,3190538,Rhus typhina L.,Rhus typhina,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Rhus,Rhus typhina,6,7707728,220,933,2398,3190534,FALSE,Magnoliopsida,NA,Rhus typhina,48
3190653,2020,3,1.1972667098148333,correct_baseline,3190653,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Sapindales,Simaroubaceae,Ailanthus,Ailanthus altissima,6,7707728,220,933,2395,3190652,FALSE,Magnoliopsida,NA,Ailanthus altissima,2
4038485,2020,1,0.9491504523865678,correct_baseline,4038485,Reynoutria ×bohemica Chrtek & Chrtková,Reynoutria bohemica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Reynoutria,Reynoutria bohemica,6,7707728,220,422,2416,8420120,FALSE,Magnoliopsida,NA,Reynoutria x bohemica,47
5329212,2020,1,0.9161700064821473,correct_baseline,5329212,Elodea nuttallii (Planch.) H.St.John,Elodea nuttallii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Hydrocharitaceae,Elodea,Elodea nuttallii,6,7707728,196,551,3721,7454696,FALSE,Liliopsida,NA,Elodea nuttallii,16
5329263,2020,NA,NA,correct_baseline,5329260,Egeria densa Planch.,Egeria densa,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Alismatales,Hydrocharitaceae,Elodea,Elodea densa,6,7707728,196,551,3721,7454696,TRUE,Liliopsida,5329263,Egeria densa,12
5334351,2020,3,1.234717250182533,correct_baseline,5334351,Fallopia baldschuanica (Regel) Holub,Fallopia baldschuanica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Fallopia,Fallopia baldschuanica,6,7707728,220,422,2416,2889418,FALSE,Magnoliopsida,NA,Fallopia baldschuanica,17
5352251,2020,3,1.0177511703359665,correct_baseline,5352251,Robinia pseudoacacia L.,Robinia pseudoacacia,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Robinia,Robinia pseudoacacia,6,7707728,220,1370,5386,2952066,FALSE,Magnoliopsida,NA,Robinia pseudoacacia,49
5356345,2020,0,0.6769836992697696,correct_baseline,5356345,Laburnum anagyroides Medik.,Laburnum anagyroides,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Laburnum,Laburnum anagyroides,6,7707728,220,1370,5386,3234737,FALSE,Magnoliopsida,NA,Laburnum anagyroides,28
5361785,2020,2,1.0498351820837897,correct_baseline,5361785,Myriophyllum aquaticum (Vell.) Verdc.,Myriophyllum aquaticum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum aquaticum,6,7707728,220,7219248,6694,2984253,FALSE,Magnoliopsida,NA,Myriophyllum aquaticum,36
5389017,2020,3,1.2214107736083613,correct_baseline,5389017,Solidago gigantea Aiton,Solidago gigantea,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Solidago,Solidago gigantea,6,7707728,220,414,3065,5388868,FALSE,Magnoliopsida,NA,Solidago gigantea,55
5389029,2020,1,0.9405660321217142,correct_baseline,5389029,Solidago canadensis L.,Solidago canadensis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Solidago,Solidago canadensis,6,7707728,220,414,3065,5388868,FALSE,Magnoliopsida,NA,Solidago canadensis,54
5421039,2020,3,1.1834995558425618,correct_baseline,5421039,Ludwigia grandiflora (Michx.) Greuter & Burdet,Ludwigia grandiflora,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Ludwigia,Ludwigia grandiflora,6,7707728,220,690,2430,3189286,FALSE,Magnoliopsida,NA,Ludwigia grandiflora,33
7889822,2020,NA,NA,correct_baseline,7889822,Spiraea ×billardii Hérincq,Spiraea billardii,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Spiraea,Spiraea billardii,6,7707728,220,691,5015,3026392,FALSE,Magnoliopsida,NA,Spiraea x billardii,60
7978544,2020,2,1.0328132722623693,correct_baseline,7978544,Hydrocotyle ranunculoides L.fil.,Hydrocotyle ranunculoides,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Apiales,Araliaceae,Hydrocotyle,Hydrocotyle ranunculoides,6,7707728,220,1351,8800,3034601,FALSE,Magnoliopsida,NA,Hydrocotyle ranunculoides,24
8848208,2020,NA,NA,correct_baseline,8848208,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Koenigia polystachya,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Koenigia,Koenigia polystachya,6,7707728,220,422,2416,2889050,FALSE,Magnoliopsida,NA,Koenigia polystachya,27
